Name,Pos,School,Height,Weight,Hands,Arms,Wingspan,40 Yd,10 Split,Vertical,Broad,Bench,3-Cone,Shuttle
Kenny McIntosh,RB,Georgia,"6'0""",204,,,,4.62,,,,,,
Kyle Patterson,TE,Air Force,"6'5""",260,,,,,,,,,,
Leonard Taylor,TE,Cincinnati,"6'5""",250,,,,,,,,,,
Luke Musgrave,TE,Oregon St.,"6'6""",253,,,,,,36,"10'5""",,,
Luke Schoonmaker,TE,Michigan,"6'5""",251,,,,,,33.5,"10'7""",,,4.27
Malik Cunningham,QB,Louisville,"6'0""",192,,,,4.53,,,,,,
Malik Heath,WR,Mississippi,"6'2""",213,,,,4.64,,34,"10'4""",,6.96,4.46
Malik Knowles,WR,Kansas St.,"6'2""",196,,,,,,,,,,
Marvin Mims,WR,Oklahoma,"5'11""",183,,,,4.38,,39.5,"10'9""",,6.9,
Matt Landers,WR,Arkansas,"6'4""",200,,,,4.37,,37,"10'10""",,,
Max Duggan,QB,TCU,"6'2""",207,,,,4.52,,30.5,"9'8""",,7.26,4.45
Michael Jefferson,WR,Louisiana,"6'4""",199,,,,4.56,,37,"11'1""",16,7.03,4.56
Michael Mayer,TE,Notre Dame,"6'5""",249,,,,,,32.5,"9'10""",,,
Michael Wilson,WR,Stanford,"6'2""",213,,,,4.58,,37.5,"10'5""",23,,4.27
Mitchell Tinsley,WR,Penn St.,"6'0""",199,,,,4.6,,35.5,"10'0""",14,,4.21
Mohamed Ibrahim,RB,Minnesota,"5'8""",203,,,,,,,,,,
Nathaniel Dell,WR,Houston,"5'8""",165,,,,4.49,,,"10'1""",,,
Noah Gindorff,TE,North Dakota St.,"6'6""",263,,,,,,,,16,,
Parker Washington,WR,Penn St.,"5'10""",204,,,,,,,,16,,
Payne Durham,TE,Purdue,"6'6""",253,,,,,,34.5,"9'9""",,,
Puka Nacua,WR,BYU,"6'2""",201,,,,,,,,,,
Quentin Johnston,WR,TCU,"6'3""",208,,,,,,40.5,"11'2""",,,
Rakim Jarrett,WR,Maryland,"6'0""",192,,,,4.44,,35.5,"10'3""",13,,
Rashee Rice,WR,SMU,"6'1""",204,,,,4.51,,41,"10'8""",,,
Ronnie Bell,WR,Michigan,"6'0""",191,,,,4.54,,38.5,"10'0""",14,6.98,4.15
Roschon Johnson,RB,Texas,"6'0""",219,,,,4.58,,31.5,"10'2""",,,
Sam LaPorta,TE,Iowa,"6'3""",245,,,,,,35,"10'3""",,6.91,4.25
SaRodorick Thompson,RB,Texas Tech,"6'0""",207,,,,4.67,,32.5,"10'0""",,7.25,4.7
Sean Tucker,RB,Syracuse,"5'9""",207,,,,,,,,,,
Stetson Bennett,QB,Georgia,"5'11""",192,,,,4.67,,33.5,"9'10""",,,4.2
Tank Bigsby,RB,Auburn,"6'0""",210,,,,4.56,,32.5,"9'11""",,,
Tanner McKee,QB,Stanford,"6'6""",231,,,,,,33,"9'6""",,7.22,4.41
Tavion Thomas,RB,Utah,"6'0""",237,,,,4.74,,30,"9'10""",,,
Tiyon Evans,RB,Louisville,"5'10""",225,,,,4.52,,30.5,,,,
Travis Dye,RB,USC,"5'10""",201,,,,,,,,,,
Travis Vokolek,TE,Nebraska,"6'6""",259,,,,,,,"9'7""",20,,
Tre Tucker,WR,Cincinnati,"5'9""",182,,,,4.4,,37.5,"10'4""",,,
Trey Palmer,WR,Nebraska,"6'0""",192,,,,4.33,,,,,,
Tucker Kraft,TE,South Dakota St.,"6'5""",254,,,,,,34,"10'2""",23,7.08,4.29
Tyjae Spears,RB,Tulane,"5'10""",201,,,,,,39,"10'5""",,,
Tyler Scott,WR,Cincinnati,"5'10""",177,,,,4.44,,39.5,"11'1""",,,
Tyson Bagent,QB,Shepherd,"6'3""",213,,,,4.79,,36,"10'0""",,6.95,4.36
Will Levis,QB,Kentucky,"6'4""",229,,,,,,34,"10'4""",,,
Will Mallory,TE,Miami,"6'5""",239,,,,,,36.5,"10'1""",20,,
Xavier Hutchinson,WR,Iowa St.,"6'2""",203,,,,4.53,,36,"9'8""",,6.91,4.35
Zach Charbonnet,RB,UCLA,"6'0""",214,,,,4.53,,37,"10'2""",,,
Zach Evans,RB,Mississippi,"5'11""",202,,,,,,,,,,
Zack Kuntz,TE,Old Dominion,"6'7""",255,,,,,,40,"10'8""",23,6.87,4.12
Zay Flowers,WR,Boston Col.,"5'9""",182,,,,4.42,,35.5,"10'7""",,,
