Name,Pos,School,Height,Weight,Hands,Arms,Wingspan,40 Yd,10 Split,Vertical,Broad,Bench,3-Cone,Shuttle
A.T. Perry,WR,Wake Forest,"6'4""",198,,,,4.47,,35,"11'1""",,,
Aidan O'Connell,QB,Purdue,"6'3""",213,,,,,,,,,,
Andrei Iosivas,WR,Princeton,"6'3""",205,,,,4.43,,39,"10'8""",19,6.85,4.12
Anthony Richardson,QB,Florida,"6'4""",244,,,,4.43,,40.5,"10'9""",,,
Antoine Green,WR,North Carolina,"6'2""",199,,,,4.47,,33.5,"10'3""",,6.99,4.27
Bijan Robinson,RB,Texas,"5'11""",215,,,,4.46,,37,"10'4""",,,
Blake Whiteheart,TE,Wake Forest,"6'4""",247,,,,,,35.5,"9'7""",20,,
Brayden Willis,TE,Oklahoma,"6'4""",241,,,,,,32,"9'9""",20,7.3,4.36
Brenton Strange,TE,Penn St.,"6'4""",253,,,,,,36,"10'4""",23,7.25,4.46
Bryce Ford-Wheaton,WR,West Virginia,"6'4""",221,,,,4.38,,41,"10'9""",,6.97,4.15
Bryce Young,QB,Alabama,"5'10""",204,,,,,,,,,,
C.J. Stroud,QB,Ohio St.,"6'3""",214,,,,,,,,,,
Cameron Latu,TE,Alabama,"6'4""",242,,,,,,,,,,
Camerun Peoples,RB,Appalachian St.,"6'1""",217,,,,4.61,,37,"10'1""",,,
Cedric Tillman,WR,Tennessee,"6'3""",213,,,,4.54,,37,"10'8""",,,
Charlie Jones,WR,Purdue,"5'11""",175,,,,4.43,,36.5,"10'4""",13,,
Chase Brown,RB,Illinois,"5'10""",209,,,,4.43,,40,"10'7""",,,
Chris Rodriguez Jr.,RB,Kentucky,"6'0""",217,,,,,,,,,,
CJ Johnson,WR,East Carolina,"6'2""",224,,,,,,,,,,
Clayton Tune,QB,Houston,"6'3""",220,,,,4.64,,37.5,"10'2""",,6.89,4.25
Dalton Kincaid,TE,Utah,"6'4""",246,,,,,,,,,,
Darnell Washington,TE,Georgia,"6'7""",264,,,,,,31,"10'2""",21,,4.08
Davis Allen,TE,Clemson,"6'6""",245,,,,,,38.5,"10'5""",,,
Demario Douglas,WR,Liberty,"5'8""",179,,,,4.44,,39.5,"11'2""",,,4.29
Deneric Prince,RB,Tulsa,"6'0""",216,,,,4.41,,35.5,"10'4""",,,
Derius Davis,WR,TCU,"5'8""",165,,,,4.36,,,,,,4.38
Deuce Vaughn,RB,Kansas St.,"5'5""",179,,,,,,35.5,"9'8""",,,
Devon Achane,RB,Texas A&M,"5'9""",188,,,,4.32,,33,,,,
DeWayne McBride,RB,Alabama-Birmingham,"5'10""",209,,,,,,,,,,
Dontay Demus Jr.,WR,Maryland,"6'3""",212,,,,4.57,,35.5,"10'3""",,,4.39
Dontayvion Wicks,WR,Virginia,"6'1""",206,,,,4.62,,39,"10'10""",,,
Dorian Thompson-Robinson,QB,UCLA,"6'2""",203,,,,4.56,,32.5,"10'1""",,7.28,4.44
Elijah Higgins,WR,Stanford,"6'3""",235,,,,4.54,,35,"10'6""",,7.01,
Eric Gray,RB,Oklahoma,"5'10""",207,,,,,,37.5,"9'10""",,,
Evan Hull,RB,Northwestern,"5'10""",209,,,,4.47,,37,"10'3""",,6.9,4.38
Grant DuBose,WR,Charlotte,"6'2""",201,,,,4.57,,35,"10'5""",,6.89,4.32
Hendon Hooker,QB,Tennessee,"6'3""",217,,,,,,,,,,
Israel Abanikanda,RB,Pittsburgh,"5'10""",216,,,,,,,,,,
Jacob Copeland,WR,Maryland,"5'11""",201,,,,4.42,,33,"10'7""",20,7.01,4.47
Jadon Haselwood,WR,Arkansas,"6'2""",215,,,,4.66,,37,"10'3""",,6.98,4.31
Jahmyr Gibbs,RB,Alabama,"5'9""",199,,,,4.36,,33.5,,,,
Jake Bobo,WR,UCLA,"6'4""",206,,,,,,,,,,
Jake Haener,QB,Fresno St.,"6'0""",207,,,,,,35,"9'6""",,7.01,
Jalen Brooks,WR,South Carolina,"6'1""",201,,,,4.69,,35,"10'10""",,7.15,4.31
Jalen Moreno-Cropper,WR,Fresno St.,"5'11""",172,,,,4.4,,,"10'1""",,,
Jalen Wayne,WR,South Alabama,"6'2""",210,,,,4.51,,34.5,"10'4""",,,
Jalin Hyatt,WR,Tennessee,"6'0""",176,,,,4.4,,40,"11'3""",,,
Jaray Jenkins,WR,LSU,"6'2""",204,,,,4.6,,29.5,,20,,
Jaren Hall,QB,BYU,"6'0""",207,,,,,,,,,,
Jason Brownlee,WR,Southern Mississippi,"6'2""",198,,,,4.59,,39.5,"10'11""",16,,
Jaxon Smith-Njigba,WR,Ohio St.,"6'1""",196,,,,,,35,"10'5""",,6.57,3.93
Jayden Reed,WR,Michigan St.,"5'11""",187,,,,4.45,,33.5,"10'1""",,,4.29
Jonathan Mingo,WR,Mississippi,"6'2""",220,,,,4.46,,39.5,"10'9""",22,,
Jordan Addison,WR,USC,"5'11""",173,,,,4.49,,34,"10'2""",,,
Joseph Ngata,WR,Clemson,"6'3""",217,,,,4.54,,34.5,"10'4""",,,
Josh Downs,WR,North Carolina,"5'9""",171,,,,4.48,,38.5,"10'11""",,,
Josh Whyle,TE,Cincinnati,"6'7""",248,,,,,,33.5,"9'7""",,,
Justin Shorter,WR,Florida,"6'4""",229,,,,4.55,,35.5,"10'6""",18,,
Kayshon Boutte,WR,LSU,"5'11""",195,,,,4.5,,29,"9'10""",,,4.25
Kearis Jackson,WR,Georgia,"5'11""",196,,,,4.55,,,"10'6""",,,
Keaton Mitchell,RB,East Carolina,"5'8""",179,,,,4.37,,38,"10'6""",,,
Kendre Miller,RB,TCU,"5'11""",215,,,,,,,,,,
